asin,negative,neutral,positive,total_reviews
B0D9R4GYTN,7.7,15.4,76.9,13
B0D9R7Q449,7.7,0.0,92.3,13
B0D9VPSQM7,15.4,7.7,76.9,13
B0D9VS4PV7,7.7,0.0,92.3,13
B0DB4W8FB1,0.0,0.0,100.0,13
B0DB9Q5G3R,0.0,7.7,92.3,13
B0DBHTL3CN,15.4,15.4,69.2,13
B0DBJSS5LD,0.0,0.0,100.0,13
B0DBRDW93D,0.0,11.1,88.9,9
B0DBW1BN5C,12.5,12.5,75.0,8
B0DBZGH5XM,0.0,0.0,100.0,13
B0DCBC8KKV,7.7,7.7,84.6,13
B0DCCJZC9F,23.1,0.0,76.9,13
B0DCHXTGRN,18.2,18.2,63.6,11
B0DCKP1VJF,0.0,0.0,100.0,13
B0DCVKYQ99,0.0,7.7,92.3,13
B0DCVP49FN,0.0,0.0,100.0,13
B0DD41G2NZ,0.0,7.7,92.3,13
B0DDXYDSLM,0.0,0.0,100.0,8
B0DFH8SNK5,0.0,0.0,100.0,13
B0DFS1CX46,0.0,7.7,92.3,13
B0DFYHDMT2,7.7,7.7,84.6,13
B0DFZG4CR3,7.7,15.4,76.9,13
B0DG36YPZM,0.0,0.0,100.0,13
B0DGFXBFCT,7.7,0.0,92.3,13
B0DGG5W4FK,7.7,0.0,92.3,13
B0DGHQWVDQ,7.7,0.0,92.3,13
B0DGK8TG51,12.5,12.5,75.0,8
B0DHCJDJBW,25.0,16.7,58.3,12
B0DHLN4322,7.7,0.0,92.3,13
B0DHRYBNDG,0.0,8.3,91.7,12
B0DHWXM4J5,0.0,12.5,87.5,8
B0DJ74H464,7.7,0.0,92.3,13
B0DJFBF3SH,7.7,7.7,84.6,13
B0DJFJFSZ5,7.7,7.7,84.6,13
B0DJG1731C,15.4,0.0,84.6,13
B0DJNFSHMQ,0.0,0.0,100.0,8
B0DJNJBVWG,0.0,20.0,80.0,10
B0DJPYN19Z,7.7,7.7,84.6,13
B0DK44759Y,0.0,0.0,100.0,13
B0DKMHKDK3,0.0,7.7,92.3,13
B0DKT8BB4M,0.0,0.0,100.0,13
B0DL32P26S,11.1,11.1,77.8,9
B0DL86NC5Z,15.4,0.0,84.6,13
B0DL8W99LM,11.1,0.0,88.9,9
B0DLCG65B5,0.0,0.0,100.0,13
B0DLLGG2Z8,0.0,0.0,100.0,13
B0DLN1G7G6,41.7,8.3,50.0,12
B0DM1Z72WC,0.0,11.1,88.9,9
B0DM373GVL,7.7,7.7,84.6,13
B0DM6SNBGM,0.0,0.0,100.0,8
B0DMKBGWMP,15.4,0.0,84.6,13
B0DMR1K61R,0.0,12.5,87.5,8
B0DMVK2DFN,0.0,12.5,87.5,8
B0DNF673KY,0.0,12.5,87.5,8
B0DNLDKY3S,12.5,0.0,87.5,8
B0DNMLK6SC,15.4,0.0,84.6,13
B0DNNWJ1LL,0.0,12.5,87.5,8
B0DP38DKQM,7.7,7.7,84.6,13
B0DP3VPWN3,100.0,0.0,0.0,1
B0DP42G526,7.7,0.0,92.3,13
B0DP74YCXR,0.0,12.5,87.5,8
B0DP7C3XK9,0.0,0.0,100.0,8
B0DPKW5JPR,7.7,7.7,84.6,13
B0DPNJVG1Z,23.1,0.0,76.9,13
B0DQ22GPKD,23.1,7.7,69.2,13
B0DQ7QVDKL,0.0,0.0,100.0,8
B0DQSJM8SX,0.0,0.0,100.0,13
B0DQTRH3V4,0.0,0.0,100.0,10
B0DR31TG5X,25.0,0.0,75.0,8
B0DR9PVSC9,0.0,0.0,100.0,13
B0DRWLLLM9,7.7,0.0,92.3,13
B0DS279YBH,0.0,12.5,87.5,8
B0DSC5WL37,9.1,9.1,81.8,11
B0DSGGRQG3,0.0,7.7,92.3,13
B0DSPJPRXD,0.0,12.5,87.5,8
B0DT1CZ58V,0.0,7.7,92.3,13
B0DT1H3CR1,7.7,7.7,84.6,13
B0DT43NNNF,0.0,7.7,92.3,13
B0DT6Z3R4F,7.7,7.7,84.6,13
B0DTKCYBR5,15.4,0.0,84.6,13
B0DTP745KH,0.0,0.0,100.0,13
B0DTVQN7KM,11.1,0.0,88.9,9
B0DVCBYMQY,12.5,12.5,75.0,8
B0DW624GXR,12.5,12.5,75.0,8
B0DWBJ6CM1,46.2,0.0,53.8,13
B0DWMX5TXV,0.0,0.0,100.0,13
B0DXFFY4YV,0.0,0.0,100.0,13
B0DXJQT19B,0.0,0.0,100.0,13
B0DY2SWV16,7.7,0.0,92.3,13
B0DY6ZP7YW,15.4,7.7,76.9,13
B0DYF64BV2,0.0,0.0,100.0,13
B0DYJKTHYF,0.0,0.0,100.0,13
B0DYMW78WD,0.0,0.0,100.0,8
B0DYP3J5BW,0.0,0.0,100.0,8
B0DYV736NT,0.0,7.7,92.3,13
B0DZ1TGX6T,7.7,0.0,92.3,13
B0DZ26C4PN,12.5,12.5,75.0,8
B0DZ28ZGYL,0.0,23.1,76.9,13
B0DZCLTHW7,25.0,12.5,62.5,8
B0DZNMWKXH,7.7,0.0,92.3,13
B0F1D7P51F,0.0,7.7,92.3,13
B0F1TBXD8B,7.7,7.7,84.6,13
B0F1XKYJFD,0.0,0.0,100.0,9
B0F21DH46Q,0.0,12.5,87.5,8
B0F21J9J7V,0.0,0.0,100.0,13
B0F21R24VX,18.2,9.1,72.7,11
B0F21SSY1N,25.0,12.5,62.5,8
B0F22BR222,0.0,0.0,100.0,8
B0F28L2J8G,0.0,7.7,92.3,13
B0F29LH9HP,0.0,0.0,100.0,8
B0F2G217VL,12.5,12.5,75.0,8
B0F2WMS7CC,0.0,0.0,100.0,13
B0F31Z2349,0.0,11.1,88.9,9
B0F32L1MCQ,25.0,0.0,75.0,12
B0F3DPXQP1,7.7,0.0,92.3,13
B0F3DR5P2W,0.0,0.0,100.0,13
B0F3DRTCB2,23.1,0.0,76.9,13
B0F3DSJZ5H,0.0,8.3,91.7,12
B0F3F2XPW1,0.0,0.0,100.0,11
B0F3HVY1JY,7.7,0.0,92.3,13
B0F3J7H7QR,7.7,0.0,92.3,13
B0F3KWZQ61,15.4,7.7,76.9,13
B0F3VWFB3K,0.0,12.5,87.5,8
B0F44147Z9,0.0,0.0,100.0,8
B0F4MZBZRH,7.7,7.7,84.6,13
B0F4WY29V3,0.0,0.0,100.0,8
B0F53SQRH4,46.2,7.7,46.2,13
B0F5BH3Z9T,0.0,0.0,100.0,10
B0F5GQQKG7,0.0,7.7,92.3,13
B0F5HSNDXF,15.4,7.7,76.9,13
B0F5JFTR1Q,7.7,0.0,92.3,13
B0F5S3SQJK,0.0,0.0,100.0,8
B0F66HVPDY,12.5,12.5,75.0,8
B0F6DDHYVK,0.0,12.5,87.5,8
B0F6NFHB31,7.7,7.7,84.6,13
B0F6WBLG4W,11.1,0.0,88.9,9
B0F72ZCGWB,20.0,30.0,50.0,10
B0F7Q5RB96,8.3,0.0,91.7,12
B0F83YR84S,0.0,11.1,88.9,9
B0F8DY4QKQ,7.7,0.0,92.3,13
B0F8HF7X28,0.0,11.1,88.9,9
B0F8HWPP54,0.0,8.3,91.7,12
B0F8Q8KLT5,7.7,0.0,92.3,13
B0F8QZ7233,7.7,0.0,92.3,13
B0F991PB6N,0.0,7.7,92.3,13
B0F9B923NC,0.0,0.0,100.0,13
B0F9BD5M2K,0.0,0.0,100.0,13
B0F9L7N1FY,0.0,15.4,84.6,13
B0F9LRK6SS,0.0,0.0,100.0,13
B0F9NXFRR6,0.0,0.0,100.0,8
B0F9P519ZM,12.5,0.0,87.5,8
B0F9WDY38C,0.0,0.0,100.0,8
B0F9YFX3QN,0.0,7.7,92.3,13
B0FB349R8G,0.0,0.0,100.0,13
B0FBFM72F2,0.0,7.7,92.3,13
B0FBQZ5CYD,7.7,7.7,84.6,13
B0FBWHDDFT,0.0,0.0,100.0,7
B0FC2PYBBD,0.0,0.0,100.0,13
B0FCS5W2WL,0.0,7.7,92.3,13
B0FDR5YWM6,7.7,0.0,92.3,13
B0FF7Q8DX8,0.0,12.5,87.5,8
B0FFGK32C5,0.0,7.7,92.3,13
B0FFN4JDNP,23.1,0.0,76.9,13
B0FFTL7QNC,0.0,0.0,100.0,13
B0FG5TDTNT,0.0,0.0,100.0,13
B0FG632MT5,12.5,0.0,87.5,8
B0FG7Q1X5B,12.5,25.0,62.5,8
B0FG7W8LP3,0.0,7.7,92.3,13
B0FG7XJWLM,0.0,0.0,100.0,13
B0FGC514QH,7.7,23.1,69.2,13
B0FGCLY8J2,0.0,0.0,100.0,13
B0FH25Z9W3,15.4,7.7,76.9,13
B0FHPRCD75,15.4,7.7,76.9,13
B0FHSC6SPM,46.2,0.0,53.8,13
B0FHWGB7FW,7.7,7.7,84.6,13
B0FHXY7VZ5,0.0,0.0,100.0,13
B0FJ1M2J1S,0.0,0.0,100.0,8
B0FJ891D8Y,30.0,20.0,50.0,10
B0FJ9YL548,0.0,0.0,100.0,9
B0FK1CDVHB,0.0,0.0,100.0,13
B0FKBGLZRL,0.0,0.0,100.0,13
B0FKGRDJ6T,0.0,16.7,83.3,6
B0FLBZL614,0.0,33.3,66.7,3
B0FLDWKJDM,11.1,22.2,66.7,9
B0FLJLV8WN,0.0,7.7,92.3,13
B0FLJYT87N,0.0,7.7,92.3,13
B0FLM15Q5L,0.0,0.0,100.0,13
B0FM83SLTL,0.0,0.0,100.0,8
B0FMB4ZY6F,0.0,0.0,100.0,13
B0FMB7M8JB,7.7,7.7,84.6,13
B0FMKFTGDJ,0.0,0.0,100.0,6
B0FMSTSYL7,15.4,0.0,84.6,13
B0FMYTCWLK,0.0,0.0,100.0,9
B0FN3JSVNZ,7.7,0.0,92.3,13
B0FN3S7LKG,0.0,0.0,100.0,13
B0FNRXZV67,0.0,0.0,100.0,13
B0FPRHR6XZ,23.1,7.7,69.2,13
B0FRFW6VYR,0.0,0.0,100.0,8
B0FRMS6KF3,0.0,12.5,87.5,8
B0FRS7SVR7,0.0,0.0,100.0,8
B0FS1V6XZD,12.5,12.5,75.0,8
B0FSKL8NH1,0.0,0.0,100.0,13
B0FTL9CR3T,0.0,0.0,100.0,1
B0FTZZYP24,0.0,0.0,100.0,13
B0FV8J9YT2,12.5,0.0,87.5,8
B0FVTJN9Y2,66.7,0.0,33.3,3
B0FVXYDGK1,12.5,0.0,87.5,8
B0FW4M379J,33.3,0.0,66.7,3
B0FWC3F2M1,0.0,0.0,100.0,8
B0FWJFFRJH,0.0,7.7,92.3,13
B0FWM4HWBM,22.2,0.0,77.8,9
B0FWQK7TBQ,0.0,7.7,92.3,13
B0FWQZNYQX,0.0,7.7,92.3,13
B0FWR4VJ87,15.4,7.7,76.9,13
B0FX44YTGC,0.0,0.0,100.0,1
B0FX9FVSXQ,0.0,12.5,87.5,8
B0FXBY6BVL,7.7,0.0,92.3,13
B0FXX4Q21N,11.1,0.0,88.9,9
B0FXX83W1H,11.1,11.1,77.8,9
B0FZQD1M8C,25.0,12.5,62.5,8
B0G11F8FHR,7.7,0.0,92.3,13
B0G12HGHGM,7.7,0.0,92.3,13
B0G13RQ2SZ,7.7,0.0,92.3,13
B0G1PJLWLZ,0.0,0.0,100.0,13
B0G29MV7GK,0.0,0.0,100.0,9
B0G2BPN56M,25.0,0.0,75.0,8
B0G2L2YC9D,0.0,0.0,100.0,8
B0G2XTRGNX,0.0,0.0,100.0,8
B0G3PTHM36,0.0,0.0,100.0,13
B0G3QSHJCC,0.0,0.0,100.0,8
B0G3QTZV2L,0.0,0.0,100.0,8
B0G3RD2XVH,0.0,0.0,100.0,8
B0G3WJZNZN,0.0,0.0,100.0,9
B0G4F6ZCSV,0.0,7.7,92.3,13
B0G4FH9ZZ7,0.0,0.0,100.0,13
B0G4FQ6CZT,15.4,0.0,84.6,13
B0G4LV352H,0.0,0.0,100.0,8
B0G4RRS5BP,12.5,12.5,75.0,8
B0G4V76JFT,12.5,0.0,87.5,8
B0G4XB3L4M,0.0,0.0,100.0,13
B0G57B32XT,12.5,0.0,87.5,8
B0G5BS3RLS,0.0,11.1,88.9,9
B0G5GGC7FP,7.7,7.7,84.6,13
B0G5PLHR14,0.0,0.0,100.0,8
B0G63LXK6R,7.7,0.0,92.3,13
B0G63LXZH1,0.0,0.0,100.0,11
B0G655BV6K,0.0,0.0,100.0,9
B0G67KHJ47,0.0,0.0,100.0,13
B0G6KNJH1Z,0.0,0.0,100.0,8
B0G6NCZ3WK,15.4,0.0,84.6,13
B0G7H6K1WN,0.0,0.0,100.0,8
B0G7RDYJFY,0.0,12.5,87.5,8
B0G7SSHT9F,12.5,0.0,87.5,8
B0G8HSMYJJ,0.0,0.0,100.0,8
B0G8HTRKQG,0.0,0.0,100.0,8
B0G8J89WBT,7.7,7.7,84.6,13
B0GC9RJQT1,0.0,0.0,100.0,8
B0GCHK16ZH,14.3,0.0,85.7,7
B0GCJQ4Z51,0.0,0.0,100.0,13
B0GCMGN8C8,0.0,0.0,100.0,13
B0GDF4PL97,12.5,12.5,75.0,8
B0GDFGPQQX,7.7,0.0,92.3,13
B0GDKY82DD,0.0,7.7,92.3,13
B0GF15CCZ1,12.5,12.5,75.0,8
B0GF1GYKW5,7.7,7.7,84.6,13
B0GFFTFYDB,0.0,0.0,100.0,8
B0GFVL4Z2W,7.7,0.0,92.3,13
B0GG3JNQGF,9.1,9.1,81.8,11
B0GGB5DNQP,12.5,0.0,87.5,8
B0GGLXDQM8,7.7,0.0,92.3,13
B0GGPBR4YP,0.0,0.0,100.0,13
B0GH7M2MPW,0.0,0.0,100.0,8
B0GHWLZF39,0.0,0.0,100.0,8
B0GJ5HHTJT,12.5,12.5,75.0,8
B0GJD6PHTZ,0.0,0.0,100.0,13
B0GJFXF52B,0.0,0.0,100.0,1
B0GK19NTQP,0.0,0.0,100.0,13
B0GK5WH85D,0.0,12.5,87.5,8
B0GK6Q7H3W,7.7,7.7,84.6,13
B0GK8NP71B,7.7,7.7,84.6,13
B0GKTWCLYZ,12.5,0.0,87.5,8
B0GL17JVGJ,0.0,0.0,100.0,8
B0GL2Q9SXV,0.0,12.5,87.5,8
B0GL99Y6ND,0.0,12.5,87.5,8
B0GLJ4P85L,0.0,0.0,100.0,8
B0GLYVY43Y,0.0,8.3,91.7,12
B0GMLBSSTD,0.0,0.0,100.0,13
B0GN8PWC9M,7.7,0.0,92.3,13
B0GPFKDGK8,0.0,0.0,100.0,8
B0GPNV3CTL,25.0,0.0,75.0,4
B0GQ3NZ83X,0.0,0.0,100.0,8
B0GQB1LPTR,0.0,0.0,100.0,8
B0GQBYVN9W,0.0,7.7,92.3,13
B0GQGJ4YF5,7.7,7.7,84.6,13
B0GQWSKBLD,0.0,0.0,100.0,13
B0GR8NM59C,15.4,0.0,84.6,13
B0GRVFY42Q,8.3,16.7,75.0,12
B0GRWVNYPN,7.7,7.7,84.6,13
B0GRYTYQL9,12.5,0.0,87.5,8
B0GS5QKBP2,12.5,0.0,87.5,8
B0GS5ZQYJF,0.0,11.1,88.9,9
B0GSPDRHW1,7.7,7.7,84.6,13
B0GSZBDJ85,0.0,12.5,87.5,8
B0GT6RLPMF,0.0,0.0,100.0,8
B0GT7WSNS5,0.0,11.1,88.9,9
B0GT8YM7Y1,12.5,0.0,87.5,8
B0GT9BR934,0.0,0.0,100.0,8
B0GTDBXDZT,0.0,0.0,100.0,8
B0GTM35PHV,0.0,0.0,100.0,7
B0GTV7FZJT,0.0,0.0,100.0,8
B0GTYJXMT7,0.0,0.0,100.0,13
B0GVG4BF6W,0.0,0.0,100.0,13
B0GVN98BP7,0.0,12.5,87.5,8
B0GVPKW5RG,0.0,0.0,100.0,1
B0GVSM61BG,0.0,0.0,100.0,8
B0GVVTMTT9,0.0,12.5,87.5,8
B0GVZYSLK2,0.0,18.2,81.8,11
B0GWGMHD1Y,0.0,0.0,100.0,13
B0GWH4ZZ7T,15.4,0.0,84.6,13
B0GWHGDFC6,0.0,12.5,87.5,8
B0GWKYMG6J,12.5,0.0,87.5,8
B0GWPXKLHB,0.0,14.3,85.7,7
B0GWWN7WCK,0.0,0.0,100.0,8
B0GX66CNNJ,23.1,7.7,69.2,13
B0GXBK19Z2,0.0,0.0,100.0,10
B0GXDJVWZX,0.0,12.5,87.5,8
B0GXDR1VWR,0.0,0.0,100.0,13
B0GXF38QL6,0.0,0.0,100.0,8
B0GXV4S23L,0.0,0.0,100.0,8
B0GXVTGXC2,12.5,0.0,87.5,8
B0GXZ39NBD,12.5,0.0,87.5,8
B0GXZ69S18,7.7,0.0,92.3,13
B0GY1H4MBY,0.0,15.4,84.6,13
B0GZNFHH9H,0.0,0.0,100.0,4
B0GZY5VR22,8.3,8.3,83.3,12
B0GZZV98MG,0.0,7.7,92.3,13
B0GZZVM9DX,0.0,12.5,87.5,8
B0H12BW67D,7.7,15.4,76.9,13
B0H13SBHS1,0.0,11.1,88.9,9
B0H14P6BZZ,12.5,0.0,87.5,8
B0H14TPV1L,25.0,12.5,62.5,8
B0H1B7725K,0.0,0.0,100.0,6
B0H1FPJ2GG,0.0,12.5,87.5,8
B0H1RRYP7S,12.5,0.0,87.5,8
B0H1YP71W7,0.0,0.0,100.0,13
B0H28ZM4NL,0.0,0.0,100.0,5
B0H29DY269,0.0,12.5,87.5,8
B0H2DVMCR1,11.1,22.2,66.7,9
B0H2LTLNM4,0.0,0.0,100.0,13
B0H2NBJ2RN,12.5,0.0,87.5,8
B0H2XG4DDJ,0.0,0.0,100.0,2
B0H33LG43X,0.0,0.0,100.0,13
B0H38R57G6,25.0,12.5,62.5,8
B0H39G9P1K,7.7,0.0,92.3,13
B0H3KB5CDG,12.5,12.5,75.0,8
B0H41M8Z7G,12.5,0.0,87.5,8
B0H431HLBT,12.5,12.5,75.0,8
B0H45CW221,12.5,0.0,87.5,8
B0H46WV6X2,12.5,25.0,62.5,8
B0H46YSXY4,0.0,0.0,100.0,5
B0H48V9BDW,0.0,0.0,100.0,13
B0H49HVCPW,0.0,10.0,90.0,10
B0H4HQ9XFN,23.1,15.4,61.5,13
B0H4SBT4SH,25.0,12.5,62.5,8
B0H5BYV9JJ,0.0,0.0,100.0,8
B0H5FG8TL2,0.0,0.0,100.0,13
B0H5FJXKRG,12.5,0.0,87.5,8
B0H5HJRS1M,0.0,12.5,87.5,8
B0H5Q9PBZ9,0.0,12.5,87.5,8
B0H5QW4HQS,0.0,12.5,87.5,8
B0H5R2SYQF,0.0,0.0,100.0,8
B0H5W2YR99,7.7,0.0,92.3,13
B0H5YDM8V5,0.0,0.0,100.0,8
B0H691WC3S,0.0,7.7,92.3,13
B0H697L1GC,12.5,0.0,87.5,8
B0H699TJC3,0.0,0.0,100.0,13
B0H69QPFZ8,7.7,7.7,84.6,13
B0H6HX1RNG,12.5,0.0,87.5,8
B0H6M2J4GK,12.5,0.0,87.5,8
B0H6N6WRHK,0.0,7.7,92.3,13
B0H6PZMQ1L,0.0,0.0,100.0,6
B0H6ZWLNZ3,25.0,0.0,75.0,8
B0H6ZWS7BF,25.0,12.5,62.5,8
B0H7BR91VM,15.4,7.7,76.9,13
B0H7FJH1PK,0.0,12.5,87.5,8
B0H7J63KND,0.0,12.5,87.5,8
B0H7R1LD7B,7.7,0.0,92.3,13
B0H7XF1D5Z,0.0,0.0,100.0,3
B0H82WWZ1D,0.0,0.0,100.0,8
B0H8DBTLV6,0.0,7.7,92.3,13
B0H8NBZD6F,0.0,0.0,100.0,2
B0H8Y9LL1G,0.0,0.0,100.0,13
B0H94JPT4S,0.0,0.0,100.0,13
B0H9D5WDWV,12.5,0.0,87.5,8
B0H9LHWBDK,0.0,0.0,100.0,13
B0H9LRGB3B,0.0,7.7,92.3,13
B0H9QF7FYV,0.0,7.7,92.3,13
B0H9R9NDSG,0.0,0.0,100.0,8
B0H9XRR9K4,0.0,0.0,100.0,13
B0HBC62SVX,0.0,0.0,100.0,7
B0HBNDKB2X,25.0,0.0,75.0,8
B0HBQ5M712,0.0,0.0,100.0,8
B0HBVXBZPZ,0.0,0.0,100.0,12
B0HBW8PTYN,0.0,0.0,100.0,13
B0HC34W1JG,0.0,0.0,100.0,5
B0HC3RNGYP,12.5,0.0,87.5,8
B0HDB6MTYJ,0.0,0.0,100.0,13
B0HDJ2BB9S,0.0,0.0,100.0,8
B0HDN4SV8F,0.0,0.0,100.0,10
