asin,negative,neutral,positive,total_reviews
B07CPW148Z,0.0,0.0,100.0,13
B07DMMG7QY,0.0,0.0,100.0,13
B07DNR6TKM,18.2,9.1,72.7,11
B07DPLQMF9,0.0,0.0,100.0,13
B07F2YJRN2,0.0,0.0,100.0,13
B07F8S18D5,0.0,0.0,100.0,13
B07FBC8P59,0.0,7.7,92.3,13
B07FYQP9ML,15.4,0.0,84.6,13
B07GKQKW7W,23.1,0.0,76.9,13
B07HRHBLJ4,0.0,0.0,100.0,13
B07J2NRG93,7.7,7.7,84.6,13
B07JCJMPVM,0.0,7.7,92.3,13
B07JCS8NRC,0.0,0.0,100.0,13
B07JR7Y8YD,0.0,15.4,84.6,13
B07K7J4CMY,0.0,0.0,100.0,13
B07K986YLL,0.0,0.0,100.0,8
B07KVRRFKF,0.0,7.7,92.3,13
B07L4JCG7T,0.0,7.7,92.3,13
B07L5P2J8D,15.4,7.7,76.9,13
B07M6Y7355,0.0,7.7,92.3,13
B07M989JLF,7.7,7.7,84.6,13
B07MN6G81X,7.7,7.7,84.6,13
B07MP3JFVW,0.0,0.0,100.0,13
B07MRD7118,0.0,0.0,100.0,13
B07MW4R1X3,7.7,7.7,84.6,13
B07N2F3JXP,0.0,0.0,100.0,13
B07NHW8Z3N,10.0,10.0,80.0,10
B07PBS21V8,23.1,15.4,61.5,13
B07PCSKGP7,12.5,0.0,87.5,8
B07PD2V88P,0.0,12.5,87.5,8
B07PF6ZVMZ,7.7,7.7,84.6,13
B07RZVN1G6,7.7,0.0,92.3,13
B07S98411N,0.0,0.0,100.0,8
B07TJXQ1TL,7.7,0.0,92.3,13
B07TZYL4ST,0.0,7.7,92.3,13
B07V4R4Z77,0.0,0.0,100.0,13
B07VT23JDM,0.0,0.0,100.0,8
B07VVK39F7,7.7,0.0,92.3,13
B07W3QT226,0.0,0.0,100.0,13
B07W46BX31,7.7,7.7,84.6,13
B07W8KJH44,7.7,0.0,92.3,13
B07XCQ3Z8H,0.0,0.0,100.0,13
B07XF8NT4C,0.0,0.0,100.0,13
B07XJLD2BL,0.0,0.0,100.0,12
B07XLTPC5L,0.0,0.0,100.0,13
B07YSQMBZN,7.7,7.7,84.6,13
B07YWLQ5F4,0.0,12.5,87.5,8
B07YXM6XTF,0.0,0.0,100.0,13
B07Z82895W,0.0,7.7,92.3,13
B07ZGDD6B1,0.0,0.0,100.0,13
B07ZHNKGVC,15.4,0.0,84.6,13
B07ZN5PKP7,0.0,7.7,92.3,13
B083QFCTTT,11.1,0.0,88.9,9
B0842RYHVB,0.0,0.0,100.0,13
B0842S56G8,0.0,0.0,100.0,13
B0849ZFBGS,7.7,0.0,92.3,13
B084BZH9PG,0.0,9.1,90.9,11
B084TM4XKG,7.7,0.0,92.3,13
B085DTZQNZ,0.0,0.0,100.0,13
B085TFF7M1,0.0,0.0,100.0,8
B0868HY623,0.0,0.0,100.0,8
B086KY66PJ,0.0,0.0,100.0,13
B086TTTZR5,0.0,0.0,100.0,13
B0874M3KW4,0.0,0.0,100.0,13
B087QZVQJX,7.7,0.0,92.3,13
B088D7XQYT,0.0,7.7,92.3,13
B088KRPCQJ,7.7,0.0,92.3,13
B0892TW82K,7.7,15.4,76.9,13
B08937RF9V,0.0,15.4,84.6,13
B089DJK1KF,0.0,7.7,92.3,13
B089P1LLFS,11.1,11.1,77.8,9
B089P25CQ1,11.1,11.1,77.8,9
B08B12P6CS,7.7,7.7,84.6,13
B08B3NHBJ4,7.7,0.0,92.3,13
B08DKQ3JG1,0.0,0.0,100.0,13
B08DTZM7LM,0.0,0.0,100.0,13
