model,accuracy,macro_f1,negative_f1,neutral_f1,positive_f1
Star Rating Baseline,0.8888888888888888,0.8867282482524806,0.8740740740740741,0.8113207547169812,0.9747899159663865
TF-IDF + Logistic Regression,0.6333333333333333,0.5772073697446832,0.6865671641791045,0.3142857142857143,0.7307692307692307
TF-IDF 1-3gram + Logistic Regression,0.5944444444444444,0.5163476308637599,0.676923076923077,0.1935483870967742,0.6785714285714286
Word + Character TF-IDF + SVM,0.5666666666666667,0.49327373936824276,0.6386554621848739,0.19672131147540983,0.6444444444444445
TF-IDF + SVM C=2,0.5277777777777778,0.42972211035038255,0.6153846153846154,0.07692307692307693,0.5968586387434555
TF-IDF + Linear SVM,0.5388888888888889,0.4271807938965524,0.6324786324786325,0.04081632653061224,0.6082474226804123
